色番号,色名,R,G,B,カテゴリ
#177,パールベージュ,,,,0
#178,パールシルバー,,,,0
#179,パールゴールド,,,,0
#180,パールクリムゾン,,,,0
#181,パールワインレッド,,,,0
#182,パールゴールデンイエロー,,,,0
#183,パールダークブルー,,,,0
#184,パールダークグリーン,,,,0
#185,パールアイボリー,,,,0
#186,パールピンクホワイト,,,,0
#187,パールパープル,,,,0
#188,パールチェリーブロッサム,,,,0
#189,パールペールレッド,,,,0
#190,パールペールブルー,,,,0
#191,カッパーレッド,186,12,47,0
#192,アルパイングリーン,91,92,74,0
#193,ビリジアン,0,111,98,0
#194,ピーコックグリーン,39,153,137,0
#195,レッドゴールド,237,155,51,0
#196,ミッドナイトブルー,0,51,73,0
#197,ダークスカイブルー,0,125,186,0
#198,ブルーパープル,68,73,156,0
#199,キャラメルブラウン,164,90,42,0
#200,チャコールブラック,49,38,29,0
#201,ひそくいろ,164,188,194,0
#202,ターコイズブルー,0,133,155,0
#203,クリームイエロー,,,,0
#204,スノーホワイト,,,,0
#205,ミルキーピーチ,,,,0
#206,パステルベージュ,,,,0
#207,パステルグリーン,,,,0
#208,パステルオレンジ,,,,0
#209,ライトパーチメント,,,,0
#210,パステルピーチ,,,,0
#211,パステルライトベージュ,,,,0
#212,パステルブルー,,,,0
#213,ヨークイエロー,,,,0
#214,ミルキーホワイト,,,,0
#215,パステルピンク,,,,0
#216,パステルイエロー,,,,0
#217,パステルパープル,,,,0
#218,パステルレッド,,,,0
#219,サンストーン,,,,0
#220,ルビー,,,,0
#221,シリトン,,,,0
#222,エメラルド,,,,0
#223,アメジスト,,,,0
#224,サファイア,,,,0
#225,アクアマリン,,,,0
#226,アンバー,,,,0
#227,ペリドット,,,,0
#228,ローズクオーツ,,,,0
#229,シャンパンガーネット,,,,0
#230,オパール,,,,0
#231,ターコイズ,,,,0
#232,ガーネット,,,,0
#233,ヒスイ,,,,0
#234,ネイビー,77,73,190,0
#235,マルベリーパープル,165,132,150,0
#236,アイアングレー,162,172,171,0
#237,フクシアパープル,207,135,157,0
#238,ローズグレー,202,167,181,0
#239,ナイルブルー,89,190,201,0
#240,フォレストグリーン,104,152,129,0
#241,ベビーピンク,222,190,210,0
#242,サンフラワー,255,200,69,0
#243,ダークピンク,205,84,91,0
#244,ライトパープル,111,121,189,0
#245,シェルピンク,232,146,124,0
#246,サーモン,219,123,81,0
#247,ライトカフェオレ,173,124,89,0
#248,アンティックゴールド,137,122,39,0
A01,ホワイト,255,255,255,1
A02,ブラック,0,0,0,1
A03,タンジェリン,246,176,76,1
A04,オレンジ,237,139,0,1
A05,スイカ,225,6,0,1
A06,レッド,186,12,47,1
A07,ピンク,241,167,220,1
A08,ピーチ,255,52,179,1
A09,ローズ,219,33,82,1
A10,ライトイエロー,242,240,161,1
A11,ヨークイエロー,255,209,0,1
A12,ライトグリーン,173,220,145,1
A13,レモングリーン,135,216,57,1
A14,アップルグリーン,36,158,107,1
A15,ダークグリーン,0,124,88,1
A16,コーラル,255,106,19,1
A17,ダークコーラル,255,103,31,1
A18,ライトブルー,170,220,235,1
A19,アズールブルー,65,182,230,1
A20,レイクブルー,0,144,218,1
A21,ダークブルー,0,51,153,1
A22,フレッシュ,252,191,169,1
A23,ベージュ,204,153,102,1
A24,バターイエロー,255,231,128,1
A25,ラベンダー,167,123,202,1
A26,ライトパープル,160,94,181,1
A27,ダークパープル,51,0,114,1
A28,ソイルブラウン,180,126,0,1
A29,ライトブラウン,164,73,61,1
A30,バーミリオン,122,62,44,1
A31,ミルクチョコブラウン,123,77,53,1
A32,コーヒーブラウン,92,71,56,1
A33,ライトグレー,155,155,155,1
A34,ダークグレー,118,119,119,1
A35,シルバー,160,159,157,1
A36,ダークピンク,201,128,158,1
A37,ブルー,20,123,209,1
A38,トルコブルー,105,179,231,1
A39,ラムネ,153,214,234,1
A40,マスカット,206,220,0,1
A41,パステルイエロー,246,235,97,1
A42,イエロー,250,224,83,1
A43,クリムゾンレッド,165,0,52,1
A44,ライトコーラル,255,163,139,1
A45,メロングリーン,93,219,93,1
A46,レモン,243,234,93,1
A47,ライトベージュ,243,207,179,1
A48,ゴールデンイエロー,255,199,44,1
A49,ディープピンク,236,134,208,1
A50,ライトラベンダー,197,180,227,1
A51,アイボリー,252,251,205,1
A52,パープル,74,31,135,1
A53,ライム,115,211,60,1
A54,ピーコックブルー,0,178,169,1
A55,ジェイドグリーン,108,194,74,1
A56,グレー,136,139,141,1
A57,ブラッドレッド,188,4,35,1
A58,ミッドナイトブルー,5,8,73,1
A59,ダークレッド,83,26,35,1
A60,パステルアクア,158,229,176,1
A61,ハネデュー,241,235,156,1
A62,パステルレッド,252,63,63,1
A63,パステルパルム,234,190,219,1
A64,パステルベリー,165,0,80,1
A65,パステルオレンジ,239,129,46,1
A66,パステルピンク,252,108,133,1
A67,パステルパープル,177,78,181,1
A68,パステルブルー,105,194,238,1
A69,マットブラック,35,40,43,1
A70,ダークフォレストグリーン,24,48,40,1
A71,ブライトイエロー,234,170,0,1
A72,クリームチェダーイエロー,255,197,110,1
A73,キャラメルブラウン,184,97,37,1
A74,ミルクティーブラウン,205,178,119,1
A75,シナモンブラウン,181,129,80,1
A76,サーモンピンク,255,109,106,1
A77,コンビーフピンク,170,87,97,1
A78,サラミレッド,92,19,27,1
A79,アイスブルー,89,213,216,1
A80,アルノブルー,0,174,199,1
A81,ターコイズ,72,169,197,1
A82,セルリアンブルー,0,174,214,1
A83,コバルトブルー,0,133,173,1
A84,オリーブグリーン,155,188,17,1
A85,ダークオリーブグリーン,153,155,48,1
A86,ピーマングリーン,0,133,34,1
A87,ゴーストホワイト,239,239,239,1
A88,アッシュホワイト,209,209,209,1
A89,コンクリートグレー,187,188,188,1
A90,カーボングレー,72,73,85,1
A91,クレセントイエロー,222,185,71,1
A92,ペールベージュ,218,182,152,1
A93,ソーセージピンク,244,169,153,1
A94,ローズオレンジ,238,125,103,1
A95,アプリコットオレンジ,240,134,97,1
A96,キャロットオレンジ,212,114,42,1
A97,ヒマラヤブルー,100,172,223,1
A98,アカプルコブルー,100,194,220,1
A99,ボニーブルー,79,159,179,1
A100,エレクトリックブルー,49,150,221,1
A101,アメリカンブルー,27,108,182,1
A102,エンパイアブルー,8,57,128,1
A103,アドニスブルー,10,102,139,1
A104,ダークターコイズ,8,91,110,1
A105,ガーターブルー,0,78,120,1
A106,ダックブルー,0,85,116,1
A107,ミルキーカーキ,204,190,128,1
A108,パステルカーキ,164,147,80,1
A109,ライトカーキ,158,136,60,1
A110,カーキ,118,108,43,1
A111,ダークカーキ,121,95,38,1
A112,ミルキーモスグリーン,186,184,162,1
A113,パステルモスグリーン,114,140,84,1
A114,ライトモスグリーン,126,124,68,1
A115,モスグリーン,100,105,46,1
A116,ダークモスグリーン,78,88,44,1
A117,アイビーグリーン,74,94,45,1
A118,フロスティブルー,113,196,82,1
A119,ポーラーミント,102,204,153,1
A120,セラドン,86,154,131,1
A121,ドーミーグリーン,20,194,91,1
A122,パロットグリーン,24,168,24,1
A123,ケールグリーン,4,85,46,1
A124,ライトビリジアン,19,107,90,1
A125,ビリジアン,5,70,65,1
