色番号,色名,R,G,B,L,a,b,カテゴリ
#113,シアン,0,166,200,62.88,-23.7,-27.46,0
#114,キャメルブラウン,191,153,114,65.81,8.86,25.87,0
#115,ココナッツブラウン,184,97,37,50.54,30.86,47.64,0
#116,ライトオレンジ,,,,,,,0
#117,ピーグリーン,167,213,0,79.5,-37.8,78.59,0
#118,ライトカーキ,223,209,167,84.01,-1.66,22.62,0
#119,アイスグリーン,212,235,142,89.56,-21.99,42.59,0
#120,ダークネイビーブルー,34,50,110,22.82,15.09,-36.9,0
#121,コンクリートグレー,187,188,188,76.17,-0.35,-0.13,0
#122,ダークフォレストグリーン,32,92,64,34.66,-26.78,10.5,0
#123,マホガニー,170,128,102,57.02,12.69,20.41,0
#124,ワインレッド,162,0,103,35.33,62.39,-11.46,0
#125,パープルロータス,152,115,172,53.94,25.29,-24.84,0
#126,ライトラベンダー,200,216,235,85.7,-1.56,-11.14,0
#127,おうどいろ,222,188,139,78.09,5.39,29.33,0
#128,ゼニスブルー,159,174,229,71.76,7.27,-29.3,0
#129,チョコレートブラウン,98,52,18,27.01,17.76,29.4,0
#130,レイクブルー,84,206,236,77.33,-24.91,-24.85,0
#131,サクラベージュ,245,202,191,84.7,13.54,11.19,0
#132,オパールグリーン,0,176,185,65.4,-33.6,-15.27,0
#133,ライトグリーン,199,233,149,88.25,-24.98,37.25,0
#134,メイプルレッド,255,88,105,61.01,64.22,26.11,0
#135,しゅいろ,255,106,57,63.23,54.24,54.48,0
#136,アイスミントブルー,221,229,237,90.56,-1.17,-4.82,0
#137,チョコブラウン,94,75,60,33.43,5.58,11.98,0
#138,コルク,211,187,168,77.41,5.52,12.74,0
#139,ピンクベージュ,225,187,180,78.95,12.52,8.63,0
#140,コーラル,236,186,168,79.49,15.46,16.0,0
#141,オリーブグリーン,128,140,36,55.56,-18.15,50.72,0
#142,ベビーブルー,177,201,232,80.15,-1.39,-18.02,0
#143,レグホーン,214,210,196,84.16,-1.05,7.41,0
#144,オイスターホワイト,215,210,203,84.41,0.49,4.06,0
#145,スカイグレー,177,179,179,72.79,-0.7,-0.25,0
#146,サンドホワイト,219,200,182,81.7,3.73,11.41,0
#147,スプリンググリーン,227,233,53,89.33,-21.64,79.28,0
#148,チャイニーズレッド,224,78,57,53.59,55.67,42.89,0
#149,ジェイブルー,0,75,135,31.3,4.57,-39.03,0
#150,ネオンイエロー,247,234,72,91.27,-13.13,75.67,0
#151,クリアーライトピンク,,,,,,,0
#152,クリアーブラック,,,,,,,0
#153,ライラック,201,177,208,75.09,14.2,-12.49,0
#154,サーモンピンク,255,128,139,68.44,49.19,16.83,0
#155,グレープ,177,78,181,49.66,54.35,-36.51,0
#156,スカイブルー,113,197,232,75.62,-16.07,-25.23,0
#157,クリアーグレー,,,,,,,0
#158,ロイヤルパープル,135,24,157,34.48,60.81,-46.8,0
#159,タントンシー,202,188,156,76.63,-0.17,18.0,0
#160,カフェオレブラウン,197,139,104,62.79,17.94,27.49,0
#161,ダークラベンダー,162,120,156,55.6,22.55,-12.95,0
#162,ミルクティーブラウン,165,136,119,58.92,8.38,13.26,0
#163,アッシュグレー,117,120,123,50.27,-0.51,-2.04,0
#164,ヘーゼルブラウン,171,152,157,64.6,7.88,-0.06,0
#165,シナモンブラウン,214,128,107,62.34,31.02,25.61,0
#166,エバーグリーン,80,109,133,44.71,-4.0,-16.59,0
#167,サンドグレー,197,185,172,75.79,2.03,8.11,0
#168,フォググレー,190,198,196,79.23,-3.12,0.04,0
